DATE,TIME,MODEL CODE,TYPE,BARCODE,SERIAL No.,PASS/NG,50Hz WATTAGE,50Hz WATTAGE FLUCTUATED,50Hz AIR VOLUME,50Hz AIR VOLUME FLUCTUATED,50Hz CLOSED PRESSURE,50Hz CLOSED PRESSURE FLUCTUATED,50Hz AMPERAGE,50Hz AMPERAGE FLUCTUATED,60Hz WATTAGE,60Hz WATTAGE FLUCTUATED,60Hz AIR VOLUME,60Hz AIR VOLUME FLUCTUATED,60Hz CLOSED PRESSURE,60Hz CLOSED PRESSURE FLUCTUATED,60Hz AMPERAGE,60Hz AMPERAGE FLUCTUATED
24/07/2025,14:52:14,200HP4300P,N,,250700004,1,191.0,5.0,184.0,5.0,53.1,5.0,1.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:16:49,200HP4300P,N,,250700005,1,196.0,5.0,188.0,4.0,54.3,1.1999999999999957,1.26,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:17:51,200HP4300P,N,,250700006,1,187.0,9.0,182.0,6.0,52.6,1.6999999999999957,1.25,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:19:20,200HP4300P,N,,250700007,1,192.0,5.0,185.0,3.0,53.6,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:21:38,200HP4300P,N,,250700008,1,198.0,6.0,190.0,5.0,54.2,0.6000000000000014,1.27,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:23:02,200HP4300P,N,,250700009,1,200.0,2.0,191.0,1.0,54.8,0.5999999999999943,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:24:20,200HP4300P,N,,250700010,1,194.0,6.0,185.0,6.0,53.7,1.0999999999999943,1.25,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:25:27,200HP4300P,N,,250700011,1,194.0,0.0,186.0,1.0,53.8,0.09999999999999432,1.26,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:26:54,200HP4300P,N,,250700012,1,196.0,2.0,189.0,3.0,53.7,0.09999999999999432,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:28:04,200HP4300P,N,,250700013,1,196.0,0.0,186.0,3.0,53.2,0.5,1.27,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:29:51,200HP4300P,N,,250700014,1,194.0,2.0,187.0,1.0,53.8,0.5999999999999943,1.25,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:31:07,200HP4300P,N,,250700015,1,196.0,2.0,188.0,1.0,53.6,0.19999999999999574,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:34:57,200HP4300P,N,,250700016,1,193.0,3.0,186.0,2.0,54.1,0.5,1.26,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:37:17,200HP4300P,N,,250700017,1,197.0,4.0,188.0,2.0,52.9,1.2000000000000028,1.27,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:38:50,200HP4300P,N,,250700018,1,195.0,2.0,188.0,0.0,54.1,1.2000000000000028,1.26,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:40:45,200HP4300P,N,,250700019,1,193.0,2.0,185.0,3.0,53.9,0.20000000000000284,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:44:44,200HP4300P,N,,250700020,1,194.0,1.0,186.0,1.0,53.8,0.10000000000000142,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:46:55,200HP4300P,N,,250700021,1,193.0,1.0,185.0,1.0,53.0,0.7999999999999972,1.25,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:50:47,200HP4300P,N,,250700022,1,192.0,1.0,185.0,0.0,53.4,0.3999999999999986,1.26,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:53:53,200HP4300P,N,,250700023,1,197.0,5.0,188.0,3.0,54.5,1.1000000000000014,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:55:41,200HP4300P,N,,250700024,1,198.0,1.0,190.0,2.0,53.7,0.7999999999999972,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,15:57:08,200HP4300P,N,,250700025,1,191.0,7.0,185.0,5.0,52.7,1.0,1.24,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,16:12:01,200HP4300P,N,,250700026,1,194.0,3.0,186.0,1.0,53.5,0.7999999999999972,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,16:13:16,200HP4300P,N,,250700027,1,191.0,3.0,185.0,1.0,53.1,0.3999999999999986,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
